what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242587635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242591661
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242591872
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242593867
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242594091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325242682190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325242682359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325242683947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325242684099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325242742250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242745222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242745438
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242748819
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242749018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242758183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242761926
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242769271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242769292
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325242769326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325242769326
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242778660
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1325242782887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242783176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242783717
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242787133
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242788434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325242789596
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325242789785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242803580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242824708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242839705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242849492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242850743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242867608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325242882647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325242887380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242893288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242913800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242915706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242917361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242918795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242920711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242932930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242935902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242937870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242940473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242969380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325242999230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243002339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243004468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243029989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243532776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1325243540371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325243551398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243566345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243569896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1325243573748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325243578163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325243589389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243592097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243604834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243684639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243694819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243767774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243801418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325243805773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243808388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243813044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325243822519
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325243822697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243834125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243856192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325243860660
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243869228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243872997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243881120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325243885380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325243888506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325243895687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243897222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243897901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325243900989
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325243901135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325243922466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325243930282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244296748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1325244296757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1325244296757
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325244296778
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325244297168
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1325244301713
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325244304143
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325244329994
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325244330197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325244449232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244467219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244467992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325244479194
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325244479465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325244511651
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1325244512841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244513125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244513551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244538240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244549811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244554051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244566713
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1325244566721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244569256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244569503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244571889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244689271
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325244722196
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325244722410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325244743017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244744985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244745225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325244749210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325245917010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325245917787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325245920749
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325245920968
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1325245921233
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1325245921233
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1325245921233
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1325245921233
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1325245921233
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1325245921233
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1325245921233
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1325245921233
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1325245921233
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1325245921233
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1325245921233
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1325245921233
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201109151620,"org.eclipse.cdt.gdb.ui",1325245921233
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1325245921233
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1325245921233
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1325245921233
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1325245921233
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1325245921233
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1325245921233
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201108301805,"org.eclipse.linuxtools.cdt.autotools.ui",1325245921233
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1325245921233
stopped,bundle,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.ui",1325245921233
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1325245921233
stopped,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1325245921233
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1325245921233
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1325245921233
stopped,bundle,de.innot.avreclipse.core,2.4.0.20111202-1142-beta,"de.innot.avreclipse.core",1325245921233
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1325245921233
stopped,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1325245921233
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1325245921249
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1325245921249
stopped,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1325245921249
stopped,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1325245921249
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1325245921249
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1325245921249
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1325245921249
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1325245921249
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1325245921249
stopped,bundle,org.eclipse.rse.shells.ui,3.0.301.R33x_v201107181530,"org.eclipse.rse.shells.ui",1325245921249
stopped,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1325245921249
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1325245921249
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1325245921249
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1325245921249
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1325245921264
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1325245921264
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1325245921264
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1325245921264
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1325245921264
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1325245921264
stopped,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1325245921264
stopped,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1325245921264
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201109151620,"org.eclipse.cdt.debug.ui.memory.transport",1325245921264
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1325245921264
stopped,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1325245921264
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1325245921264
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.201.R33x_v201109141647,"org.eclipse.rse.subsystems.files.dstore",1325245921264
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.processes.dstore",1325245921264
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.dstore",1325245921264
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.200.v201103141607,"org.eclipse.rse.connectorservice.dstore",1325245921264
